               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.031424,            0.008215,                   0,             0.95918,             0.83923,             0.92894,               0.627,             0.02496,           0.0062678,                   0,            0.002977,            0.002977,            0.002977
                  38,             0.03274,           0.0086211,                   0,              0.9134,             0.84752,             0.91275,              0.6596,             0.02272,           0.0060823,                   0,           0.0029648,           0.0029648,           0.0029648
                  39,            0.031211,           0.0082641,                   0,             0.90653,             0.86596,             0.90832,             0.61503,            0.025622,           0.0067948,                   0,           0.0029523,           0.0029523,           0.0029523
                  40,            0.030479,           0.0083643,                   0,             0.99792,             0.89286,             0.94173,             0.67393,            0.022723,           0.0056618,                   0,           0.0029395,           0.0029395,           0.0029395
                  41,            0.030711,           0.0081066,                   0,             0.97999,             0.87445,             0.94526,             0.66124,            0.021483,           0.0054554,                   0,           0.0029264,           0.0029264,           0.0029264
                  42,            0.030097,           0.0079222,                   0,             0.93268,             0.92857,             0.96054,             0.71475,            0.019967,            0.004898,                   0,            0.002913,            0.002913,            0.002913
                  43,            0.030861,           0.0084959,                   0,             0.96181,             0.90179,             0.95711,             0.71466,            0.019533,           0.0046576,                   0,           0.0028993,           0.0028993,           0.0028993
                  44,            0.029988,           0.0080574,                   0,             0.96969,             0.85695,             0.94103,             0.65907,            0.021242,           0.0050847,                   0,           0.0028854,           0.0028854,           0.0028854
                  45,             0.02993,           0.0080655,                   0,             0.97102,             0.90179,             0.94334,             0.68421,            0.020676,           0.0052348,                   0,           0.0028712,           0.0028712,           0.0028712
                  46,            0.028695,           0.0077301,                   0,             0.92609,             0.90179,             0.93522,             0.66913,            0.021317,           0.0050976,                   0,           0.0028567,           0.0028567,           0.0028567
                  47,            0.030107,           0.0077069,                   0,              0.9802,             0.88385,             0.95525,             0.70445,            0.019713,           0.0049915,                   0,            0.002842,            0.002842,            0.002842
                  48,            0.029566,           0.0075112,                   0,              0.9898,               0.866,             0.94399,             0.67608,            0.020332,           0.0050901,                   0,           0.0028269,           0.0028269,           0.0028269
                  49,            0.028598,           0.0078398,                   0,             0.96189,              0.9015,             0.94087,             0.69229,            0.019596,           0.0045309,                   0,           0.0028117,           0.0028117,           0.0028117
                  50,              0.0288,           0.0081136,                   0,             0.96253,             0.91964,             0.95077,             0.69721,             0.01981,           0.0044383,                   0,           0.0027961,           0.0027961,           0.0027961
                  51,            0.027993,            0.007995,                   0,             0.97893,             0.86607,             0.94963,             0.67983,            0.020731,            0.005079,                   0,           0.0027803,           0.0027803,           0.0027803
                  52,            0.028016,            0.007467,                   0,             0.97167,             0.91882,             0.95829,             0.71992,             0.01943,           0.0044546,                   0,           0.0027643,           0.0027643,           0.0027643
                  53,            0.028543,            0.008121,                   0,             0.91665,             0.88393,             0.91795,             0.66094,            0.020353,            0.005374,                   0,            0.002748,            0.002748,            0.002748
                  54,            0.027628,           0.0076693,                   0,             0.95044,               0.875,             0.92659,             0.64796,            0.021499,           0.0053103,                   0,           0.0027315,           0.0027315,           0.0027315
                  55,            0.028324,            0.007573,                   0,             0.98988,               0.875,             0.93782,             0.68982,             0.02036,            0.004887,                   0,           0.0027147,           0.0027147,           0.0027147
                  56,            0.027464,           0.0076158,                   0,             0.95123,               0.875,             0.94029,             0.71532,            0.019316,           0.0049503,                   0,           0.0026978,           0.0026978,           0.0026978
                  57,            0.028018,           0.0073844,                   0,             0.97924,             0.85714,             0.94753,             0.68563,            0.020035,           0.0050526,                   0,           0.0026805,           0.0026805,           0.0026805
                  58,            0.027354,            0.007626,                   0,             0.97036,             0.88393,             0.95007,             0.72156,            0.018887,            0.004887,                   0,           0.0026631,           0.0026631,           0.0026631
                  59,            0.026466,           0.0074956,                   0,             0.98074,             0.91071,             0.95798,             0.71819,            0.018467,           0.0046381,                   0,           0.0026454,           0.0026454,           0.0026454
                  60,            0.027024,           0.0073084,                   0,             0.97142,              0.9105,             0.95276,             0.67023,            0.021645,           0.0050915,                   0,           0.0026276,           0.0026276,           0.0026276
                  61,            0.027144,           0.0076289,                   0,             0.98973,             0.91964,             0.94647,             0.72386,             0.01891,           0.0045026,                   0,           0.0026095,           0.0026095,           0.0026095
                  62,            0.024987,            0.007042,                   0,             0.96038,             0.86607,             0.92952,             0.65232,            0.021613,           0.0051604,                   0,           0.0025912,           0.0025912,           0.0025912
                  63,            0.026679,           0.0075891,                   0,             0.97094,             0.91071,              0.9552,             0.69382,            0.019184,           0.0046309,                   0,           0.0025727,           0.0025727,           0.0025727
                  64,             0.02648,           0.0071366,                   0,             0.99986,             0.91964,             0.95233,             0.69533,            0.019594,           0.0044221,                   0,            0.002554,            0.002554,            0.002554
                  65,            0.026636,           0.0070243,                   0,                   1,             0.92849,             0.95877,             0.72461,            0.018087,           0.0042546,                   0,           0.0025351,           0.0025351,           0.0025351
                  66,            0.025135,           0.0073169,                   0,             0.99958,             0.92857,             0.95632,             0.74418,            0.018036,           0.0043184,                   0,           0.0025161,           0.0025161,           0.0025161
                  67,            0.026254,           0.0070095,                   0,             0.99983,             0.88393,             0.95361,             0.73462,            0.017086,           0.0042266,                   0,           0.0024968,           0.0024968,           0.0024968
                  68,             0.02529,           0.0068926,                   0,             0.98009,             0.88393,             0.94458,             0.70584,            0.018892,           0.0044882,                   0,           0.0024774,           0.0024774,           0.0024774
                  69,            0.026438,           0.0069081,                   0,             0.95187,             0.88393,             0.94567,             0.72488,             0.01867,           0.0047419,                   0,           0.0024578,           0.0024578,           0.0024578
                  70,            0.025876,           0.0066277,                   0,             0.99971,             0.88393,               0.961,             0.72465,            0.017779,           0.0044209,                   0,            0.002438,            0.002438,            0.002438
                  71,            0.025323,           0.0072208,                   0,             0.97087,             0.89278,              0.9489,             0.72524,            0.018454,            0.004676,                   0,           0.0024181,           0.0024181,           0.0024181
                  72,            0.025542,           0.0071418,                   0,             0.95392,             0.92857,             0.97069,             0.71224,            0.019174,           0.0043139,                   0,            0.002398,            0.002398,            0.002398
                  73,            0.025255,           0.0073736,                   0,             0.97167,             0.91964,             0.95725,             0.73008,            0.018153,           0.0042062,                   0,           0.0023778,           0.0023778,           0.0023778
                  74,            0.025875,           0.0073088,                   0,             0.98113,             0.92853,             0.96652,              0.7428,             0.01708,           0.0041869,                   0,           0.0023574,           0.0023574,           0.0023574
                  75,            0.024735,           0.0066866,                   0,             0.99986,             0.92857,              0.9645,             0.72908,            0.017738,           0.0041353,                   0,           0.0023368,           0.0023368,           0.0023368
                  76,            0.025311,           0.0068979,                   0,             0.98091,             0.91964,             0.96791,             0.77785,            0.015705,           0.0040116,                   0,           0.0023162,           0.0023162,           0.0023162
                  77,            0.023842,            0.006485,                   0,                   1,              0.9107,             0.96534,             0.74269,            0.016315,           0.0040358,                   0,           0.0022954,           0.0022954,           0.0022954
                  78,            0.025443,           0.0068578,                   0,             0.95191,             0.88377,             0.95745,             0.72346,            0.017221,            0.004702,                   0,           0.0022744,           0.0022744,           0.0022744
                  79,            0.023898,           0.0071283,                   0,             0.98057,             0.90138,              0.9641,             0.75824,            0.015916,           0.0039634,                   0,           0.0022534,           0.0022534,           0.0022534
                  80,            0.024392,           0.0069291,                   0,             0.97209,              0.9375,             0.95614,             0.75483,            0.015746,           0.0038088,                   0,           0.0022322,           0.0022322,           0.0022322
                  81,            0.023538,           0.0066442,                   0,              0.9543,              0.9375,             0.95557,             0.75036,            0.016011,           0.0039682,                   0,            0.002211,            0.002211,            0.002211
                  82,            0.024083,           0.0065538,                   0,              0.9983,             0.89286,              0.9511,             0.75718,            0.016147,           0.0040967,                   0,           0.0021896,           0.0021896,           0.0021896
                  83,             0.02385,           0.0066845,                   0,                   1,             0.85696,              0.9591,             0.72639,             0.01752,           0.0045344,                   0,           0.0021681,           0.0021681,           0.0021681
                  84,            0.024211,           0.0064211,                   0,              0.9895,             0.84821,             0.94241,             0.70983,            0.018627,           0.0047567,                   0,           0.0021465,           0.0021465,           0.0021465
                  85,            0.023867,           0.0069011,                   0,             0.96057,               0.875,             0.94455,             0.75048,            0.016077,           0.0043009,                   0,           0.0021249,           0.0021249,           0.0021249
                  86,            0.023345,           0.0067289,                   0,              0.9519,             0.89286,             0.94945,             0.76194,            0.015739,           0.0041891,                   0,           0.0021031,           0.0021031,           0.0021031
                  87,            0.023649,           0.0062868,                   0,             0.97143,             0.91062,             0.96154,              0.7607,            0.016778,           0.0042903,                   0,           0.0020813,           0.0020813,           0.0020813
                  88,            0.023701,           0.0064146,                   0,              0.9633,              0.9375,             0.96802,             0.76162,            0.015764,            0.004008,                   0,           0.0020594,           0.0020594,           0.0020594
                  89,             0.02367,           0.0067712,                   0,             0.98128,              0.9375,             0.96418,             0.78492,            0.015219,           0.0038511,                   0,           0.0020374,           0.0020374,           0.0020374
                  90,            0.022651,           0.0064959,                   0,             0.99038,             0.92857,             0.96889,             0.74506,            0.016624,           0.0039747,                   0,           0.0020154,           0.0020154,           0.0020154
                  91,            0.024459,           0.0068049,                   0,             0.99989,             0.91964,             0.96947,             0.75673,            0.016185,           0.0042634,                   0,           0.0019933,           0.0019933,           0.0019933
                  92,            0.023532,           0.0063243,                   0,             0.98039,             0.89276,             0.96841,             0.73685,            0.017038,           0.0043487,                   0,           0.0019712,           0.0019712,           0.0019712
                  93,            0.022743,           0.0066271,                   0,             0.98058,             0.90172,             0.95963,             0.75678,            0.017085,           0.0042376,                   0,            0.001949,            0.001949,            0.001949
                  94,            0.023256,           0.0062828,                   0,             0.97106,             0.90179,             0.96345,             0.75712,            0.015529,           0.0039474,                   0,           0.0019268,           0.0019268,           0.0019268
                  95,            0.022989,           0.0067891,                   0,             0.93629,             0.91964,             0.96332,             0.77497,            0.016112,            0.004218,                   0,           0.0019045,           0.0019045,           0.0019045
                  96,            0.022639,           0.0061138,                   0,             0.98075,             0.91071,              0.9667,               0.775,             0.01563,           0.0039623,                   0,           0.0018822,           0.0018822,           0.0018822
                  97,             0.02222,           0.0062167,                   0,             0.98989,             0.92857,             0.96615,             0.76004,            0.015338,           0.0038499,                   0,           0.0018599,           0.0018599,           0.0018599
                  98,            0.022045,           0.0067156,                   0,              0.9797,             0.91071,              0.9595,             0.74884,            0.015586,           0.0039648,                   0,           0.0018376,           0.0018376,           0.0018376
                  99,            0.022467,           0.0065852,                   0,             0.98074,             0.91071,             0.96135,             0.76566,            0.015299,           0.0041278,                   0,           0.0018153,           0.0018153,           0.0018153
                 100,            0.022611,           0.0061675,                   0,             0.98084,             0.91964,             0.96523,             0.74931,            0.015937,           0.0039033,                   0,           0.0017929,           0.0017929,           0.0017929
                 101,            0.021909,           0.0064316,                   0,              0.9901,             0.89285,             0.97023,             0.77147,               0.015,           0.0037761,                   0,           0.0017706,           0.0017706,           0.0017706
                 102,            0.022481,           0.0062701,                   0,             0.98148,             0.94638,             0.96934,             0.78203,            0.014424,           0.0037948,                   0,           0.0017483,           0.0017483,           0.0017483
                 103,            0.021593,           0.0061311,                   0,             0.99018,             0.91071,             0.95909,             0.75678,            0.017049,           0.0044392,                   0,           0.0017259,           0.0017259,           0.0017259
                 104,            0.021437,           0.0062872,                   0,              0.9814,             0.94643,             0.97377,             0.78806,            0.014199,           0.0037966,                   0,           0.0017036,           0.0017036,           0.0017036
                 105,            0.021938,           0.0060675,                   0,             0.97179,              0.9375,              0.9728,             0.77161,            0.015091,           0.0037472,                   0,           0.0016813,           0.0016813,           0.0016813
                 106,            0.022202,           0.0065578,                   0,             0.99982,             0.88393,             0.96018,             0.79643,            0.014841,           0.0041423,                   0,           0.0016591,           0.0016591,           0.0016591
                 107,            0.021755,           0.0066557,                   0,                   1,             0.88389,             0.95995,             0.76482,            0.015677,           0.0040499,                   0,           0.0016369,           0.0016369,           0.0016369
                 108,            0.021787,           0.0062893,                   0,             0.98096,             0.94643,             0.96538,             0.76517,            0.015352,           0.0036406,                   0,           0.0016147,           0.0016147,           0.0016147
                 109,            0.021109,           0.0061904,                   0,             0.98081,             0.91964,             0.96998,              0.7717,            0.014408,           0.0036954,                   0,           0.0015925,           0.0015925,           0.0015925
